名称,经度,纬度
子学不动产,102.478447,25.550816
毅学书店,102.704446,25.060725
乐学文具,102.470579,24.914557
云南唯学信息科技有限公司,102.707142,25.049463
五华正学诊所,102.682345,25.093376
小童学精品童装,102.681436,25.043019
学成饭店,102.241595,24.946031
云南大学(东陆校区),102.708574,25.060198
云南大学(呈贡校区),102.849703,24.826861
西南林业大学(白龙校区),102.764992,25.066115
昆明理工大学(新迎校区),102.738687,25.057673
云南师范大学(一二一西南联大校区),102.702935,25.061451
昆明理工大学津桥学院(空港校区),103.004941,25.128204
云南农业大学,102.755738,25.134885
昆明理工大学(莲华校区),102.702269,25.065989
云南财经大学北院,102.727455,25.094093
云南农业大学(西区),102.750417,25.132489
昆明文理学院(龙泉校区),102.718721,25.095791
昆明开放学院,102.745654,25.053546
昆明城市学院,103.016345,25.240506
云南开放大学(学府路),102.71167,25.067818
云南大学-东一院,102.711275,25.061973
云南农业大学尚农楼,102.756022,25.133853
云南农业大学学生公寓第-16幢,102.759406,25.136005
云南师范大学实验中学,102.700227,25.064104
昆明理工大学专家楼,102.738901,25.05731
云南财经大学北院-汇文礼堂,102.727092,25.093359
西南林业大学学生宿舍-第一幢,102.767781,25.066904
云大附中,102.706258,25.061709
西南林业大学学生宿舍第-12栋,102.761841,25.067494
昆明理工大学附属小学,102.70292,25.069324
西南林业大学家属区-11栋,102.756231,25.067695
云大附小,102.707267,25.061997
西南林业大学东二院,102.768006,25.063389
云南农业大学-综合楼,102.755736,25.134819
云南省电力学校,102.752501,25.161372
云南农业大学现代农业教育科研基地,103.286484,25.52114
云南师范大学文理学院学生公寓-2号,102.721992,25.095519
云南师范大学文理学院-办公楼,102.722615,25.095758
云南师范大学商学院宿舍区-志和楼1栋,103.013611,25.240269
云南农业大学学生公寓第,102.76023,25.135765
云南师范大学商学院宿舍区静和楼-3栋,103.014528,25.239531
云南师范大学文理学院宿舍区-3幢,103.004937,25.250704
云南民族大学-东南亚研究中心,102.708847,25.064286
西南林业大学(白龙校区)-思想政治理论课教学部,102.762003,25.062628
云南大学滇池学院学生公寓-10幢,103.011915,25.237705
云南农业大学-农村发展政策研究中心,102.758683,25.138082
云南师范大学附属俊发城中学,102.759941,25.109153
云南农业职业技术学院-畜牧兽医系,102.986162,25.172284
云南师范大学文理学院第二教学辅楼,103.001352,25.250329
动物科学技术学院,102.758554,25.134556
土木工程学院,102.761095,25.062664
黑马驾校杨林大学城练车场地,102.975518,25.135866
云南工商学院智能科学与工程学院,103.011053,25.243995
云南工商学院-滇西青年创业学院,103.012998,25.248454
云南师范大学俊发城实验小学,102.757634,25.114767
西南林业大学-第一教学楼,102.765249,25.066121
