名称,经度,纬度
昆明爱尔眼科医院,102.731427,25.030263
丽菲医院,102.513782,25.223866
云南民族大学医院,102.864062,24.844573
昆明医科大学第二附属医院-二号住院楼,102.687671,25.059839
云南恒康医院,102.733166,25.060049
富民县款庄中心医院,102.679702,25.452451
昆明艾维眼科医院,102.721259,25.04213
昆明复美白癜风专科医院研究所,102.698468,25.030841
昆明晋民医院,102.605008,24.670232
云南康泉老年病医院,102.817881,24.990042
昆明夏世中医医院,102.673824,25.046822
昆明水泥厂-职工医院,102.624469,25.002255
云南大学-校医院,102.710061,25.061187
云南中医学院-门诊部,102.731435,25.041932
寻甸仁康医院,103.270006,25.54932
浩康医院,102.755244,24.71423
石林县中医医院,103.289844,24.789366
云南交通职业技术学院呈贡新校区-校医院,102.865607,24.843233
昆明医科大学第二附属医院-三号楼,102.687078,25.060397
昆明南亚科大肝病医院,102.719087,25.083482
嵩明博爱医院,103.056768,25.341877
昆明医科大学第二附属医院-六号楼,102.687621,25.060756
云南康复医院,102.738568,25.140183
官渡进日医院,102.775662,25.014533
博大医院,102.680807,25.093677
寻甸仁和医院,103.261105,25.561725
昆明金泽实业有限公司职工医院,102.631878,25.008344
可保煤矿职工医院(可保村分院),103.0737,24.975496
寻甸县百信医院,103.434226,25.604163
中国云南呈贡训练基医科所,102.812917,24.861172
Lewan,102.746145,25.034881
昆明医科大学海源学院教学医院,102.734692,25.040986
景元堂,102.658623,25.056785
昆明医学院教学医院,102.75655,25.081584
云南省急救中心网络医院,102.730335,25.043573
云南计生药具管理,102.731842,25.011539
保险公司宿舍,102.743331,25.018217
市体育馆单位宿舍,102.695802,25.052952
国家税务总局禄劝彝族苗族自治县税务局,102.472202,25.560472
禄劝县卫生计生局,102.471613,25.552272
嵩明县疾病预防控制中心,103.04059,25.340633
东川区阿旺镇人口和计划生育服务所,103.260471,25.922935
云南省工商行政管理干部培训中心(西华北路),102.690459,25.035938
中闸物流有限公司,102.74481,24.978363
省建五公司,102.654328,25.060007
小西门东风西路艺术剧院单位房,102.706332,25.046753
中国铜业公司,102.724959,25.066529
省建八公司,102.814671,24.998496
云南基业发展公司,102.714419,25.024832
省建三公司,102.692435,25.069504
华润圣火有限公司,102.784366,25.003683
报废汽车公司,102.676182,25.120085
方富混凝土公司,102.832984,25.027131
宜良县自来水公司,103.147509,24.923019
羽音商贸有限公司,102.701457,24.964303
昆纤有限公司,102.751135,25.07694
中国人民银行(安宁市支行),102.488068,24.92582
昆明市道路运输管理局五华区分局,102.653433,25.100848
移民小区管委会,102.462033,25.555147
中国人民银行(禄劝彝族苗族自治县支行),102.47751,25.564128
中国人民银行(寻甸回族彝族自治县支行),103.266138,25.571964
禄劝县公共资源交易中心,102.474965,25.561949
寻甸回族彝族自治县黑颈鹤省级自然保护区公益林管护站,103.018116,25.579093
中国人民银行(宜良县支行),103.158746,24.924187
中国人民银行(东川支行),103.189085,26.08175
炎山社区居民委员会,103.189447,26.086071
昆明新机场建设指挥部,102.923622,25.082852
禄劝彝族苗族自治县文体广电旅游局,102.475098,25.559056
则黑乡林业管理站,102.689329,26.137362
寻甸回族彝族自治县河口镇退役军人服务站,103.383389,25.645416
云南省昆瑞高速公路路政管理支队昆武大队,102.549548,25.227474
嵩明县科学技术和信息化局,103.042044,25.338767
云南省总队第二支队,102.664448,25.111908
禄劝县皎平渡镇纪检委,102.458492,26.130416
嵩明县规划局,103.048036,25.345752
禄劝彝族苗族自治县公安局屏山派出所交警中队,102.476734,25.569031
禄劝彝族苗族自治县畜牧兽医局,102.476484,25.563521
禄劝彝族苗族自治县国土资源局执法监察大队,102.477819,25.562131
昆明市东川区医疗保障局,103.190939,26.08701
嵩明县发展改革和商务局工会联合会,103.045482,25.340328
国家税务总局禄劝彝族苗族自治县税务局翠华税务分局,102.588028,25.647449
嵩明县嵩阳财政所,103.048323,25.339139
禄劝县气象行政执法大队,102.47574,25.559119
禄劝彝族苗族自治县卫生局卫生监督所雪山分所,102.81225,26.145688
昆明市生态环境局禄劝分局,102.474811,25.556646
茂山财政所,102.505978,25.670986
富民县赤鹫乡人民调解委员会,102.516338,25.359648
塘子镇林业工作站,103.26829,25.44008
皎平渡镇政府综合应急救援分队,102.458339,26.130661
禄劝彝族苗族自治县茂山乡生产监督管理站,102.506307,25.670709
蝴蝶道路交通安全劝导站,103.606838,24.694364
宜良公路管理段阿东山公路管理站,103.201316,25.232281
青龙双湄居家养老服务中心,102.301467,25.008995
健康直饮水保障行动服务站,103.380555,25.648564
寻甸县自然资源和规划局联合国土所,103.00562,25.938429
塘子食品安全委员会办公室,103.267992,25.439035
六哨乡天然林资源保护工程管护所,102.975188,25.630516
牧羊村务监督委员会,102.846003,25.398221
石林彝族自治县食品药品稽查大队,103.278363,24.751715
塘子财政所,103.267836,25.439395
小新街乡野生动植物保护管理站,103.229736,25.318021
禄劝县乌东德镇纪检委,102.542658,26.260025
禄劝县财政局皎平渡财政所,102.458035,26.130906
禄劝彝族苗族自治县自然资源和规划局行政执法大队皎平渡监察中队,102.457003,26.130554
禄劝彝族苗族自治县司法局中屏司法所,102.62504,25.869937
市场监管,102.530281,25.762084
团街公路管理所,102.52598,25.74885
联塑市政管,102.48152,25.583329
富民县赤鹫乡公路管理所,102.516539,25.359375
团街财政所,102.528926,25.761771
月湖道路交通安全劝导站,103.442098,24.835511
圭山司法所,103.559642,24.64982
石林彝族自治县人民政府食品安全委员会办公室,103.295406,24.776052
石林彝族自治县科学技术局,103.279072,24.759674
东城新区建设管理委员会,103.29407,24.763404
石林彝族自治县环境监测站,103.283775,24.760841
云南南装集团第二工程处,102.594651,24.93886
栗庙村委会交通安全劝导站,102.540827,24.705896
市场监督管理,102.294679,24.466806
东川审计,103.198469,26.086528
中化农业蒲草塘农业技术服务站,103.359505,25.786429
凤合镇龙池村村务监督委员会,102.959448,25.819739
功山镇农机管理服务所,103.270073,25.746194
皎平渡镇一级劝导站,102.454584,26.138792
富民县司法局(赤鹫司法所),102.516266,25.359568
九乡彝族回族乡财政所,103.389291,25.104137
牛栏江镇财政所,103.144522,25.283183
龙院社区书记主任副书记办公室,102.649624,25.083647
昆明市质量技术监督局东川区分局稽查队,103.194745,26.076639
昆明倘甸产业园区轿子山旅游开发区矿产资源管理委员会办公室,102.925786,25.800254
禄劝彝族苗族自治县烟草专卖局双化专卖管理所,102.48355,26.053396
离境退税海关核验点(昆明长水国际机场),102.935668,25.102615
昭宗都市农庄建设指挥部,102.643474,25.058923
河口财政所,103.384263,25.644133
寻甸县司法局(先锋司法所),103.011867,25.491923
云南动监,102.534016,26.003932
功山镇畜牧兽医工作站,103.269956,25.745715
中共东川区经济贸易和科学技术信息化局委员会,103.192353,26.089355
寻甸回族彝族自治县功山镇社会保障事务所,103.270707,25.744619
外婆味道(七彩云南第壹城店),102.832692,24.884367
外婆味道(祥云店),102.719279,25.041599
七步香(场村店),102.820373,24.878274
蔼若春(金实店),102.739115,25.08232
德哥饭庄(麻园店),102.680928,25.063535
祥云荟馆(上东城店),102.737124,25.047523
祥云美食城,102.719567,25.041637
老滇山寨(经开区店),102.800023,24.971436
福照楼汽锅鸡饭店(锦江店),102.726949,25.027211
山里人家宣威菜馆(北京路店),102.7279,25.031759
多哥水傣味餐厅(司马巷店),102.717012,25.037849
年轮菜馆(金碧店),102.716911,25.04047
傣味轩(南屏街东口店),102.719267,25.043484
味彩(翠湖西路店),102.707739,25.053167
外婆味道(云纺店),102.71708,25.026596
外婆味道(新亚洲店),102.77391,24.951902
云海肴(南强街店),102.720328,25.041144
傣族人家(呈贡大学城店),102.858312,24.857757
老滇山寨(新亚洲店),102.774168,24.951908
杨林闻老三酸菜鱼(总店),103.034226,25.250261
滇铺子(福景路店),102.685016,25.022218
海底捞(顺城购物中心店),102.715263,25.042097
海底捞(彩云南路店),102.832216,24.883936
川倒拐耗儿鱼火锅(关上店),102.747034,25.022084
红豆园餐厅(圆通街店),102.715068,25.056724
天香仁和酒楼(金实路店),102.738707,25.08218
彭厨(关上店),102.74641,25.01549
大滇园(北站店),102.727834,25.066481
七彩晋家豆腐坊,102.823073,24.880185
迪拜美食会所(霖雨路店),102.733723,25.104091
普洱小黄牛餐厅(长水机场店),102.910732,25.084216
外婆味道(德缘店),102.655575,25.043797
福照楼(龙腾店),102.725553,25.052916
邻家小灶(春城店),102.73296,25.048837
小龙坎老火锅(五华大厦店),102.712753,25.043033
玺宴The Banquet,102.724617,24.949872
山里人家宣威菜馆(呈贡店),102.823139,24.891775
仟和骨头王火锅(金碧路店),102.717428,25.039369
福照楼(联大店),102.715049,25.044799
翠府传统海鲜火锅,102.707683,25.056171
五谷闲亭(龙泉路店),102.729221,25.11198
小瓦喳民族土菜(泛亚中铁云时代广场店),102.666973,25.092283
广东海鲜坊(新亚洲店),102.77216,24.953814
福照楼(护国饭店),102.721562,25.043304
外婆味道(世博店),102.75375,25.066538
王家小院,102.295021,25.043701
伊天园(辛伯达旗舰店),102.659852,25.044612
滇铺子(近华浦路店),102.681732,25.053479
林山饭店(大观路店),102.695819,25.043271
老房老舍重庆传统火锅(前福路店),102.70276,24.992012
仟和骨头王火锅(时光店),102.729785,25.068179
牛很鲜潮汕牛肉火锅(绿岛商业中心店),102.722213,25.045167
醉云喃滇味民俗餐厅(东寺街店),102.716981,25.035343
柳记农家园(景江店),102.735547,25.089708
芭蕉叶绿叶宴,102.687587,25.071931
纳禾春汉傣文化餐厅(和谐店),102.739956,25.108042
四方街老灶房(NO.3),102.747603,25.010819
宣威菜山野人家(呈贡店),102.800161,24.897888
老街坊(万象城店),102.738372,25.053961
新世界云牵一线(总店),102.720325,25.056312
外婆味道(安宁店),102.492981,24.927556
柳记农家园(和谐店),102.739929,25.107944
兰巴赫(南亚第壹城店),102.690277,25.013215
527自助纸上烤肉,102.683634,25.059353
黄瓜营眼镜烧烤(望城美食城店),102.714491,25.01428
美蛙鱼头(金实形象店),102.740974,25.082242
茄子恰恰创意滇菜(呈贡店),102.831284,24.884415
茄子恰恰(同德店),102.730101,25.07401
年轮菜馆(高新店),102.66415,25.066348
牛很鲜潮汕牛肉火锅(人民路店),102.739768,25.050357
渝大狮老火锅(正义坊旗舰店),102.715385,25.046589
柳记农家园(华都店),102.716798,24.982183
蒸好吃(工人医院店),102.688225,25.061151
味之绝美蛙鱼头(教场店),102.706278,25.079226
年轮菜馆(和谐世纪店),102.73783,25.108485
谢氏小锅,102.742813,25.05797
探鱼(昆明广场店),102.729987,25.074051
味蜀吾(拓东路店),102.738244,25.04351
李记河口老字号越南小卷粉,102.741896,25.04068
南得一臭(昆明店),102.752633,24.957588
傣族人家(高新分店),102.664214,25.081627
肯德基(星耀路餐厅),102.773924,24.9605
留老爷不准走(万达广场西山店),102.716969,25.014632
稻香良品,102.831053,24.886743
必胜客(青年路餐厅),102.721781,25.049177
昆明饭店过桥米线(昆明饭店总店),102.730664,25.04569
大羊米线(王旗营店),102.73747,25.068223
建新园(景星街店),102.715562,25.044447
原虹山老周烧烤(南亚店),102.692835,25.013158
阿拉伯餐厅,102.69771,25.060194
老顾客琳琳小吃(王旗营店),102.73428,25.067706
赖着不走(青云街店),102.712234,25.058163
城市花园泰式海鲜火锅(登文店),102.759748,25.086522
火锅恰恰(呈贡店),102.866671,24.863755
保山火瓢牛肉(向阳东路店),102.512416,24.899271
石头记牧哥牛汤锅,102.72031,24.996665
佳客来牛排自助(青年路店),102.722286,25.045242
上井精致料理(同德店),102.730596,25.074645
九寨石锅鱼三国烤鱼(新天地总店),102.85784,24.85744
蒙自源过桥米线(国贸店),102.73612,25.019238
德克士(新亚洲餐厅),102.772484,24.95197
必胜客(白云餐厅),102.730923,25.07328
老仓醋米线(金碧店),102.717604,25.040135
蒙古烤羊腿(云大西路店),102.796662,24.982267
么哈MOJAR(云上小镇店),102.849758,24.84807
泰爽(公园1903商业广场店),102.682611,24.99168
三根葱(公园1903商业广场店),102.682579,24.991944
好吃坊(金碧街道弥勒寺社区东北),102.708005,25.034559
幸福久居,102.708403,25.048398
嘉华饼屋(和平店),102.729881,25.036147
小蹄大作(北京路店),102.730258,25.074778
昆明饭店-西饼屋(白塔店),102.732279,25.044111
储缘蛋糕(建设路店),102.698794,25.06697
昆明市官渡区幼儿园,102.755928,25.013383
万科·金域国际-艾尔西幼儿园,102.660857,25.059275
云南省人民政府办公厅华山幼儿园,102.717489,25.050732
昆明市第二幼儿园,102.712319,25.052601
金辉双语幼儿园,102.756782,25.085595
昆明市官渡区北京路幼儿园星辰校区(官渡分校),102.780886,24.966683
阳光米诺岛幼儿园,102.667766,25.072802
爱贝儿幼儿园,102.703152,25.010976
昆明市王旗营小区幼儿园(万宏路),102.733177,25.067335
航天幼儿园,102.828546,24.989065
盘龙区巧童趣幼儿园,102.750889,25.070692
云南省委机关幼儿园,102.705688,25.041676
大观幼儿园(大观路),102.697813,25.04452
中共昆明市委机关幼儿园,102.720638,25.037278
昆明市第七幼儿园,102.702259,25.048381
云师大附属盘龙幼儿园,102.752399,25.107164
爱贝林语幼儿园,102.658327,25.10091
昆明市人民政府机关幼儿园,102.728554,25.049942
肯琦儿国际幼儿园(第五分园),102.737403,25.121909
和润幼儿园,102.759306,25.037905
圆通幼儿园,102.71684,25.058102
盘龙区东华幼儿园,102.741825,25.052553
云南民族幼儿园,102.746916,25.037866
金庭双语幼儿园,102.747554,25.076445
昆明市第十八幼儿园,102.713546,25.02147
睿博中英文幼儿园(融城昆明湖分园),102.767577,25.135637
昆明博艺源幼儿园,102.698468,25.039853
官渡区六甲中心幼儿园,102.72022,24.969082
哈奇幼幼园,102.736908,25.110272
北京金色摇蓝幼儿园,102.781635,24.961899
五华区教职工幼儿园,102.712905,25.056631
瑞格阳光城幼儿园,102.682849,25.067256
博睿恩国际幼儿园,102.783211,24.993205
昆明市第二十幼儿园,102.707153,25.0581
昆明市盘龙区长颈鹿幼儿园,102.739348,25.079404
米吉宝国际幼稚园,102.656458,25.097167
寻甸县幼儿园,103.270309,25.567166
云南民航儿童哲学幼儿园,102.75569,25.010458
昆明高新一小附属经典双城幼儿园,102.672988,25.05684
小精灵艺术幼儿园,102.769536,24.967458
中海龙泉幼儿园,102.732145,25.118884
蓝天贝贝幼儿园,102.749469,25.164681
桐欣艺术幼儿园,102.79636,24.980456
昆明市西山米奇幼儿园,102.691219,25.024636
太平村中心幼儿园(第二分园),102.770813,25.036964
官渡区彼岸幼儿园,102.782686,24.972748
育艺幼儿园,102.777983,25.013153
金牛幼儿园(南亚园),102.689091,25.012292
昆明市轧钢厂幼儿园,102.712377,25.078668
斗南阳光幼儿园,102.784464,24.902333
轿子山幼儿园,102.483752,25.563723
寻艺贝贝幼儿园,102.821534,25.005239
昆明市第十五幼儿园(润城),102.709112,25.011448
昆明市官渡区龙马社区幼儿园,102.734232,24.945508
昆明市盘龙区太阳花金戈双语幼儿园,102.735421,25.075565
昆明市教工第二幼儿园(滇池星城园区),102.806064,24.861713
艾尔西幼儿园(澜玥分园),102.730225,24.978781
建工海贝幼儿园(建工新城),102.833471,24.955088
大河埂幼儿园,102.65995,25.094453
希望幼儿园,102.778044,24.954522
官渡区大羊甫幼儿园,102.796839,24.97697
昆明经开区锦程幼儿园,102.848121,24.966963
绿苗幼儿园,102.760543,25.015195
中闸社区幼儿园,102.746165,24.977899
官渡区爱贝尔幼儿园,102.768538,24.966187
启蒙幼儿园(龙泉路),102.742712,25.154001
官渡区威仕德幼儿园,102.732437,25.030579
昆明市盘龙区罗丈幼儿园,102.739263,25.091501
昙华幼儿园,102.753447,25.049687
小金星幼儿园,102.748506,25.135892
德馨瓦窑村幼儿园,102.767684,25.120476
贝尔乐幼儿园,102.730218,25.004746
阳光天使幼儿园,102.68636,25.059234
散旦镇幼儿园,102.662128,25.307946
空港经济区贝尔乐杏园幼儿园,102.895285,25.052224
秀屏社区-幼儿园,102.458831,25.554822
昆明市官渡区伊顿幼儿园(昆明市官渡区),102.730714,24.942911
艾乐幼儿园,103.017399,25.250996
秋苑幼儿园,102.662809,25.040746
白得邑阳阳幼儿园,102.755158,24.995212
大风车双语幼儿园,102.793818,24.981108
晨星幼儿园(宝象河段),102.910347,25.052297
九乡小树苗幼儿园,103.385353,25.102676
昆明问古斋国学幼儿园,102.78378,24.981442
新苗幼儿园(金沙路店),103.185704,26.084911
龙凤幼儿园(民兴路),102.663075,25.045867
金所乡栽开幼儿园,103.194364,25.531335
嵩明县好孩子幼儿园,103.067807,25.234137
蓓蕾幼儿园(文苑路),103.261221,25.569167
寻甸县仁德镇塘子中心幼儿园,103.267396,25.436825
白汉场中心幼儿园,102.971144,25.172465
和平幼儿园,103.264882,25.50275
慈育幼儿园,103.007817,25.839449
昆明善学堂国学幼儿园,102.752826,25.144704
艾尔西瑞辰幼儿园,102.747723,25.061964
金所幼儿园(金河街道),103.200797,25.556824
昆明市官渡区天一幼儿园,102.772616,25.029302
晨曦国学幼儿园,102.828885,24.985713
童忆幼儿园,103.273624,25.534249
昆明市官渡区金悦幼儿园,102.741313,24.962777
嵩明县上木作村金童幼儿园,103.064339,25.32961
天佑幼儿园,103.057848,25.313474
新田幼儿园,103.07194,25.580123
西山区希萌幼儿园,102.656465,25.0451
海乐幼儿园,102.713244,24.96352
贝嘉幼儿园,102.719092,24.974991
春晖幼儿园,102.717378,24.966649
玫瑰湾爱幼幼儿园,102.7269,24.988091
新承汇便民托幼园,102.747042,25.041657
御山湖幼儿园,102.857787,24.978459
昆明市盘龙区中所幼儿园,102.884984,25.244647
撒营盘中心幼儿园,102.534077,26.003198
新湖乡村幼儿园,103.164102,26.162548
贝乐幼儿园,102.591343,25.649262
贝蕾幼儿园,103.220319,25.204939
汤郎乡中心幼儿园,102.289199,26.191956
云铜幼儿园-康贝儿幼教机构,102.68224,25.089055
麻地村幼儿园,102.843072,25.827207
小太阳幼儿园,103.071192,25.308553
春天艺术幼儿园,103.052902,25.310766
酒候酒馆,102.707757,25.058038
纯粮酒坊,102.701741,24.978391
海燕酒行,102.785974,24.991998
酒红苑烤全羊,102.581793,24.619687
醉明月酒(省委办公区专卖店),102.687229,25.009757
云南云酒酒业有限责任公司,103.182319,24.882934
杨林肥酒,102.674534,25.057315
酒房,103.052355,25.310521
梁粮酒坊,103.045272,25.195002
呈贡尚客优连锁酒店(昆明大学城高铁南站店),102.866521,24.863594
法国之光·葡萄酒(1903店),102.682031,24.990814
新嘉源茶酒批发市场,102.7803,24.98945
昆明事外居酒屋(南强街店),102.720247,25.040876
谁在居酒屋(南亚店),102.692282,25.013953
小东酒房,103.078062,25.231292
百汇酒行,102.480059,25.559903
八仙酒铺子,102.721701,25.079356
国酒茅台(茭菱路店),102.685931,25.055036
纯高粱酒,102.808539,24.891543
藤原居酒屋,103.061581,25.349773
酱典酱酒,102.677828,25.008134
酒舍吧,102.738329,25.030883
醉鼎尖椒鸡(寺瓦路店),102.76587,25.051397
卫涛酒行,102.717118,24.981317
茶酒行,102.722287,25.060117
康乐酒,102.687573,25.044509
深巷香酒,102.793717,24.980821
奔富酒庄,102.725913,25.067217
酒是这里,102.735062,25.075165
酒铺,102.776151,24.981708
见茶看酒,102.673938,25.100025
酒点拌,102.480967,25.564389
本香烟酒,102.718697,24.994615
涌泉酒,102.788757,25.00688
春悦花园酒店,103.282084,24.765117
昆明南屏步行街亚朵轻居酒店,102.714283,25.043111
元园源酒店,102.86168,26.01733
纯粮酒,102.761279,24.98232
酒行,102.723668,25.051066
吉诚酒,102.750962,25.046468
酒茶行,102.749119,25.048878
自烤酒,102.856035,25.022538
乐曼酒行,102.783142,24.994473
大福酒行,103.561591,24.648315
嘉瑞酒,102.68198,25.003165
囍酒,103.275615,24.761917
酒副食,102.688649,25.00307
丰明商贸(茅台王子酒店),102.742208,25.063538
久怡酒,102.782859,24.994455
橄榄酒,102.638102,25.030087
无疑酒,102.75138,25.073668
嘉丽泽酒,102.767551,24.962352
国酒荟萃,102.701098,24.999309
酉食酉酒,102.7131,25.001755
酒居,102.475859,25.554579
酒超市,102.728989,25.003998
华昌酒,102.724057,25.053953
玖香烟酒,102.687009,25.000846
令和崎料理,102.739012,25.10895
阿兵特产,102.668613,25.092488
洋火商店,102.729865,25.029246
百佳超市(穿金路店),102.760725,25.086168
光明烟酒,102.682653,25.040787
华顺烟酒,102.747771,25.081762
烧左衙门,102.748239,25.060304
玩啤精酿餐吧Humdinger(正义店),102.716609,25.04906
牛啤堂精酿啤酒餐吧(昆明店),102.69014,25.013029
酤居湖景音乐餐吧,102.460417,24.925324
胡桃里音乐酒馆(昆明顺城店),102.713499,25.042371
休闲吧,102.742669,25.153733
亮骏网吧,102.881016,25.030203
盈月茶吧,102.730857,25.096749
走吧,102.710933,25.052365
枫叶吧,102.747046,25.019779
老滇缅320傣味餐吧(兴苑路店),102.661664,25.044898
老滇缅320傣味餐吧(海源北路店),102.653773,25.084019
松果音乐餐吧(1903店),102.682938,24.990133
啤气串吧(兴苑路店),102.652593,25.042508
净心缘时尚餐吧,102.738536,25.047419
木制天堂餐吧(昆明分店),102.705019,25.058271
赫斯提亚餐吧,102.763102,25.088027
疯狂吧2526,102.657841,25.093108
听牧牛庄(同仁店),102.717806,25.04088
呀州休闲餐吧(金坤尚城店),102.707576,25.015086
菩提吧,102.738843,25.0609
昆明繁花酒吧(环城南路店),102.716928,25.02914
圣鹰部落酒吧(昆明店),102.763676,24.961235
70音乐吧,102.737312,25.09762
台北帮厨(正义坊购物中心店),102.715821,25.047592
哦吧,102.76675,24.981102
渔吧,102.68001,24.982054
茶外茶茶室(万华路店),102.725272,25.075725
来电(菩提吧),102.738793,25.06086
来喝酒吧,103.053987,24.962658
鲜果捞吧,102.846291,24.918344
雅座茶吧,102.78862,25.004466
雪茄吧,102.729253,25.075835
久居,102.707463,25.051019
辣吧,102.808724,24.896573
咖啡吧,102.70601,25.003971
梦吧BAR,102.775681,25.096331
尚格牛排(万宏店),102.731289,25.065919
九紫星吧,103.021794,25.242314
漫云吧,102.799688,24.970393
安逸茶吧,102.739798,25.061426
剪吧,103.292895,24.77566
发吧,102.658902,25.040573
墨宁奶吧,102.664541,25.084457
塆拿餐吧,102.679922,25.053115
鲜奶吧,102.697322,24.998637
牛叉烤吧,102.998444,25.241587
禾吧,102.749939,25.158742
咖啡茶吧,103.212239,25.543451
C度休闲吧,103.046195,24.965522
馨鑫茶吧,102.74147,25.062208
喝点吧,102.743373,24.775015
品茶吧,102.723003,25.056111
源源烤吧,102.758913,25.078193
酒吧茶吧,102.732837,25.024265
享游吧,102.776904,24.968489
留念吃吧,102.751381,25.13647
来串门吧,103.126279,25.440386
天天洗吧,102.84694,24.91816
聚点K吧,102.787732,25.336286
天天剪吧,102.80864,24.891343
食忆串吧,103.044777,25.343746
饿吧,102.729396,25.032867
蹭饭吧,102.654103,25.091321
双肴餐吧,102.725612,25.092125
泡沫吧,102.80835,24.893717
甩饭吧,102.685819,25.020473
烫染吧,102.787914,25.033908
乐客烤吧,102.800141,24.895141
魅吧,102.74891,25.048114
随心烤吧,102.935926,25.777921
悦味餐吧,103.05281,25.341629
王者烤吧,102.813312,24.791634
鞋吧,103.049871,25.342595
美丽鞋吧,103.152925,24.924301
爱烤吧,102.698295,25.16091
时尚鞋吧,102.75358,25.057449
聚餐吧,102.627973,24.988813
爱尚吧,102.654249,25.092039
